dataset,seed,norm_mode,graph_mode,encoder_mode,relation_mode,train_protocol,train_acc,val_acc,test_acc,best_val_acc,best_epoch,final_epoch,num_train_used_for_loss,num_val,num_test,num_channels,seq_len,num_classes
ERing,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_50,0.766667,nan,0.751852,nan,nan,50,30,0,270,4,65,6
ERing,0,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,1.000000,nan,0.940741,nan,nan,100,30,0,270,4,65,6
ERing,1,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.966667,nan,0.962963,nan,nan,100,30,0,270,4,65,6
ERing,2,train_global,no_graph,current,lowN_channel_attn,train_all_fixed_100,0.966667,nan,0.944444,nan,nan,100,30,0,270,4,65,6
Epilepsy,0,train_global,no_graph,current,hgnn_zero,current_split,0.845455,0.851852,0.797101,0.851852,1,1,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,hgnn_zero,current_split,0.909091,1.000000,0.876812,1.000000,1,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,hgnn_zero,current_split,0.881818,0.814815,0.862319,0.814815,1,1,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,hgnn_zero,stratified_split,0.836364,0.777778,0.746377,0.777778,1,1,110,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,hgnn_zero,stratified_split,0.845455,0.814815,0.855072,0.814815,1,1,110,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,hgnn_zero,stratified_split,0.945455,0.925926,0.884058,0.925926,1,1,110,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.167883,0.777778,0.123188,0.777778,1,1,137,27,138,3,206,4
Epilepsy,1,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.248175,0.814815,0.246377,0.814815,1,1,137,27,138,3,206,4
Epilepsy,2,train_global,no_graph,current,hgnn_zero,retrain_trainval,0.218978,0.925926,0.217391,0.925926,1,1,137,27,138,3,206,4
Epilepsy,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.861314,nan,0.811594,nan,nan,50,137,0,138,3,206,4
Epilepsy,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.875912,nan,0.884058,nan,nan,50,137,0,138,3,206,4
Epilepsy,2,train_global,no_graph,current,hgnn_zero,train_all_fixed_50,0.861314,nan,0.862319,nan,nan,50,137,0,138,3,206,4
Epilepsy,0,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.941606,nan,0.855072,nan,nan,100,137,0,138,3,206,4
Epilepsy,1,train_global,no_graph,current,hgnn_zero,train_all_fixed_100,0.948905,nan,0.913043,nan,nan,100,137,0,138,3,206,4
