dataset,seed,ablation,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes,train_graph_avg_degree,train_graph_homophily,test_graph_avg_degree,test_graph_homophily_diagnostic_only
UWaveGestureLibrary,2,gru_only,0.239583,0.583333,0.243750,0.583333,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,0,no_hgnn_but_gcn,0.479167,0.375000,0.390625,0.416667,15,96,24,320,3,315,8,5.300000190734863,0.4905660152435303,5.362500190734863,0.5291375517845154
UWaveGestureLibrary,1,no_hgnn_but_gcn,0.541667,0.333333,0.425000,0.333333,1,96,24,320,3,315,8,5.1666669845581055,0.5322580337524414,5.387500286102295,0.5591647028923035
UWaveGestureLibrary,2,no_hgnn_but_gcn,0.604167,0.625000,0.428125,0.625000,9,96,24,320,3,315,8,5.250000476837158,0.5460317730903625,5.362500190734863,0.5536130666732788
UWaveGestureLibrary,0,no_sample_gcn,0.614583,0.583333,0.515625,0.583333,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,1,no_sample_gcn,0.614583,0.416667,0.484375,0.416667,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,2,no_sample_gcn,0.614583,0.458333,0.425000,0.458333,1,96,24,320,3,315,8,,,,
Cricket,0,cnn_gru_only,0.551724,0.619048,0.569444,0.619048,1,87,21,72,6,1197,12,,,,
Cricket,1,cnn_gru_only,0.632184,0.571429,0.569444,0.571429,1,87,21,72,6,1197,12,,,,
Cricket,2,cnn_gru_only,0.735632,0.571429,0.722222,0.571429,1,87,21,72,6,1197,12,,,,
Cricket,0,cnn_only,0.655172,0.666667,0.638889,0.666667,1,87,21,72,6,1197,12,,,,
Cricket,1,cnn_only,0.655172,0.476190,0.569444,0.476190,1,87,21,72,6,1197,12,,,,
Cricket,2,cnn_only,0.747126,0.476190,0.666667,0.476190,1,87,21,72,6,1197,12,,,,
