dataset,seed,graph_mode,sample_k,sim_threshold,dropedge,use_residual_gcn,final_alpha,train_acc,val_acc,test_acc,best_val_acc,best_epoch,num_train,num_val,num_test,num_channels,seq_len,num_classes,train_graph_avg_degree,train_graph_homophily,test_graph_avg_degree,test_graph_homophily_diagnostic_only
ERing,1,mutual_knn,5,0.5,0.2,True,0.047896,0.500000,0.666667,0.555556,0.666667,1,24,6,270,4,65,6,3.6666667461395264,0.5999999642372131,3.0740740299224854,0.9012048244476318
ERing,2,mutual_knn,5,0.5,0.2,True,0.047560,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,4.066667079925537,0.7213114500045776,3.118518352508545,0.9239905476570129
ERing,0,mutual_knn_threshold,5,0.5,0.2,True,0.047127,0.541667,0.333333,0.470370,0.333333,1,24,6,270,4,65,6,3.9333336353302,0.5423728823661804,3.200000047683716,0.8981481790542603
ERing,1,mutual_knn_threshold,5,0.5,0.2,True,0.047896,0.500000,0.666667,0.555556,0.666667,1,24,6,270,4,65,6,3.6666667461395264,0.5999999642372131,3.0740740299224854,0.9012048244476318
ERing,2,mutual_knn_threshold,5,0.5,0.2,True,0.047560,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,4.066667079925537,0.7213114500045776,3.118518352508545,0.9239905476570129
ERing,0,mutual_knn,3,0.5,0.2,True,0.047127,0.541667,0.333333,0.470370,0.333333,1,24,6,270,4,65,6,1.8666667938232422,0.7500000596046448,1.8296295404434204,0.906882643699646
ERing,1,mutual_knn,3,0.5,0.2,True,0.047896,0.500000,0.666667,0.555556,0.666667,1,24,6,270,4,65,6,2.066666841506958,0.7419354915618896,1.7925925254821777,0.9090908765792847
ERing,2,mutual_knn,3,0.5,0.2,True,0.047560,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,2.200000047683716,0.8484848737716675,1.770370364189148,0.9288702607154846
ERing,0,mutual_knn,10,0.5,0.2,True,0.047127,0.541667,0.333333,0.470370,0.333333,1,24,6,270,4,65,6,7.800000190734863,0.3760683834552765,6.733333110809326,0.8822882175445557
ERing,1,mutual_knn,10,0.5,0.2,True,0.047896,0.500000,0.666667,0.559259,0.666667,1,24,6,270,4,65,6,8.0,0.38333335518836975,6.481481552124023,0.8982856869697571
ERing,2,mutual_knn,10,0.5,0.2,True,0.047560,0.666667,0.833333,0.644444,0.833333,1,24,6,270,4,65,6,8.0,0.4333333671092987,6.622221946716309,0.9127516746520996
Epilepsy,0,no_graph,5,0.5,0.0,True,0.000000,0.790909,0.703704,0.739130,0.703704,1,110,27,138,3,206,4,,,,
Epilepsy,1,no_graph,5,0.5,0.0,True,0.000000,0.845455,0.814815,0.724638,0.814815,7,110,27,138,3,206,4,,,,
Epilepsy,2,no_graph,5,0.5,0.0,True,0.000000,0.854545,0.888889,0.833333,0.888889,1,110,27,138,3,206,4,,,,
Epilepsy,0,current,5,0.5,0.0,True,0.048892,0.790909,0.703704,0.731884,0.703704,1,110,27,138,3,206,4,5.48905086517334,0.8484042286872864,5.376811504364014,0.8140161633491516
Epilepsy,1,current,5,0.5,0.0,True,0.048268,0.836364,0.814815,0.724638,0.814815,6,110,27,138,3,206,4,5.445255279541016,0.8820375800132751,5.405797004699707,0.8632708191871643
Epilepsy,2,current,5,0.5,0.0,True,0.048964,0.854545,0.888889,0.833333,0.888889,1,110,27,138,3,206,4,5.386861324310303,0.8807588219642639,5.34782600402832,0.8428184390068054
Epilepsy,0,mutual_knn,5,0.5,0.0,True,0.048892,0.781818,0.703704,0.731884,0.703704,1,110,27,138,3,206,4,3.2116787433624268,0.8909090757369995,3.4347827434539795,0.8818565011024475
Epilepsy,1,mutual_knn,5,0.5,0.0,True,0.048267,0.836364,0.814815,0.724638,0.814815,6,110,27,138,3,206,4,3.3430657386779785,0.9257642030715942,3.3768117427825928,0.9184549450874329
Epilepsy,2,mutual_knn,5,0.5,0.0,True,0.048964,0.854545,0.888889,0.833333,0.888889,1,110,27,138,3,206,4,3.430656909942627,0.9319148659706116,3.2463769912719727,0.9017857313156128
Epilepsy,0,mutual_knn,5,0.5,0.2,True,0.048892,0.790909,0.703704,0.731884,0.703704,1,110,27,138,3,206,4,3.2116787433624268,0.8909090757369995,3.420289993286133,0.8813559412956238
Epilepsy,1,mutual_knn,5,0.5,0.2,True,0.048281,0.845455,0.814815,0.724638,0.814815,7,110,27,138,3,206,4,3.357664108276367,0.9304347634315491,3.3768117427825928,0.9184549450874329
Epilepsy,2,mutual_knn,5,0.5,0.2,True,0.048964,0.863636,0.925926,0.840580,0.925926,1,110,27,138,3,206,4,3.416058301925659,0.9273504614830017,3.275362491607666,0.8982300758361816
Epilepsy,0,mutual_knn_threshold,5,0.5,0.2,True,0.048892,0.790909,0.703704,0.731884,0.703704,1,110,27,138,3,206,4,3.2116787433624268,0.8909090757369995,3.420289993286133,0.8813559412956238
Epilepsy,1,mutual_knn_threshold,5,0.5,0.2,True,0.048281,0.845455,0.814815,0.724638,0.814815,7,110,27,138,3,206,4,3.357664108276367,0.9304347634315491,3.3768117427825928,0.9184549450874329
Epilepsy,2,mutual_knn_threshold,5,0.5,0.2,True,0.048964,0.863636,0.925926,0.840580,0.925926,1,110,27,138,3,206,4,3.416058301925659,0.9273504614830017,3.275362491607666,0.8982300758361816
Epilepsy,0,mutual_knn,3,0.5,0.2,True,0.048892,0.790909,0.703704,0.724638,0.703704,1,110,27,138,3,206,4,1.8102189302444458,0.9274193048477173,1.8695652484893799,0.9534883499145508
Epilepsy,1,mutual_knn,3,0.5,0.2,True,0.048281,0.845455,0.814815,0.724638,0.814815,7,110,27,138,3,206,4,1.8248175382614136,0.9520000219345093,1.8550724983215332,0.96875
Epilepsy,2,mutual_knn,3,0.5,0.2,True,0.048964,0.854545,0.925926,0.840580,0.925926,1,110,27,138,3,206,4,1.8686131238937378,0.9609375,1.8840579986572266,0.9538461565971375
Epilepsy,0,mutual_knn,10,0.5,0.2,True,0.048892,0.790909,0.703704,0.731884,0.703704,1,110,27,138,3,206,4,7.386861324310303,0.8478261232376099,7.507246494293213,0.7702702283859253
Epilepsy,1,mutual_knn,10,0.5,0.2,True,0.048281,0.854545,0.814815,0.724638,0.814815,7,110,27,138,3,206,4,7.401459693908691,0.8934911489486694,7.304347991943359,0.819444477558136
Epilepsy,2,mutual_knn,10,0.5,0.2,True,0.048964,0.863636,0.925926,0.840580,0.925926,1,110,27,138,3,206,4,7.474452495574951,0.8671875,7.3913044929504395,0.8254902362823486
Libras,0,no_graph,5,0.5,0.0,True,0.000000,0.458333,0.388889,0.422222,0.388889,1,144,36,180,2,45,15,,,,
Libras,1,no_graph,5,0.5,0.0,True,0.000000,0.319444,0.277778,0.250000,0.277778,9,144,36,180,2,45,15,,,,
Libras,2,no_graph,5,0.5,0.0,True,0.000000,0.319444,0.222222,0.288889,0.222222,1,144,36,180,2,45,15,,,,
Libras,0,current,5,0.5,0.0,True,0.048511,0.451389,0.388889,0.416667,0.388889,6,144,36,180,2,45,15,5.255555629730225,0.4460887908935547,5.255555629730225,0.4735729396343231
Libras,1,current,5,0.5,0.0,True,0.047922,0.256944,0.277778,0.216667,0.277778,1,144,36,180,2,45,15,5.3111114501953125,0.43514642119407654,5.266666889190674,0.455696165561676
Libras,2,current,5,0.5,0.0,True,0.047946,0.326389,0.222222,0.294444,0.222222,1,144,36,180,2,45,15,5.377778053283691,0.3966941833496094,5.300000190734863,0.39203351736068726
Libras,0,mutual_knn,5,0.5,0.0,True,0.048497,0.444444,0.388889,0.416667,0.388889,5,144,36,180,2,45,15,3.48888897895813,0.5191082954406738,3.577777862548828,0.5403726696968079
Libras,1,mutual_knn,5,0.5,0.0,True,0.047922,0.256944,0.277778,0.216667,0.277778,1,144,36,180,2,45,15,3.3222222328186035,0.5150501728057861,3.566666841506958,0.5327102541923523
Libras,2,mutual_knn,5,0.5,0.0,True,0.047946,0.326389,0.222222,0.294444,0.222222,1,144,36,180,2,45,15,3.3222222328186035,0.47826087474823,3.4777779579162598,0.48881787061691284
Libras,0,mutual_knn,5,0.5,0.2,True,0.048497,0.451389,0.388889,0.416667,0.388889,5,144,36,180,2,45,15,3.48888897895813,0.522292971611023,3.5888888835906982,0.5417956709861755
Libras,1,mutual_knn,5,0.5,0.2,True,0.047922,0.243056,0.277778,0.211111,0.277778,1,144,36,180,2,45,15,3.3333334922790527,0.5133333206176758,3.577777862548828,0.5341615080833435
Libras,2,mutual_knn,5,0.5,0.2,True,0.047946,0.326389,0.222222,0.294444,0.222222,1,144,36,180,2,45,15,3.3000001907348633,0.47811445593833923,3.511111259460449,0.48417723178863525
Libras,0,mutual_knn_threshold,5,0.5,0.2,True,0.048497,0.451389,0.388889,0.416667,0.388889,5,144,36,180,2,45,15,3.48888897895813,0.522292971611023,3.5888888835906982,0.5417956709861755
Libras,1,mutual_knn_threshold,5,0.5,0.2,True,0.047922,0.243056,0.277778,0.211111,0.277778,1,144,36,180,2,45,15,3.3333334922790527,0.5133333206176758,3.577777862548828,0.5341615080833435
Libras,2,mutual_knn_threshold,5,0.5,0.2,True,0.047946,0.326389,0.222222,0.294444,0.222222,1,144,36,180,2,45,15,3.3000001907348633,0.47811445593833923,3.511111259460449,0.48417723178863525
Libras,0,mutual_knn,3,0.5,0.2,True,0.048497,0.451389,0.388889,0.411111,0.388889,5,144,36,180,2,45,15,1.933333396911621,0.6206896305084229,1.9888889789581299,0.6145251393318176
Libras,1,mutual_knn,3,0.5,0.2,True,0.047922,0.243056,0.277778,0.211111,0.277778,1,144,36,180,2,45,15,1.8666666746139526,0.6309524178504944,2.0222222805023193,0.6318681240081787
Libras,2,mutual_knn,3,0.5,0.2,True,0.047946,0.326389,0.222222,0.294444,0.222222,1,144,36,180,2,45,15,1.888888955116272,0.5764706134796143,1.9666666984558105,0.6271186470985413
Libras,0,mutual_knn,10,0.5,0.2,True,0.048497,0.451389,0.388889,0.416667,0.388889,5,144,36,180,2,45,15,7.044444561004639,0.38485804200172424,7.433333396911621,0.39760836958885193
Libras,1,mutual_knn,10,0.5,0.2,True,0.047922,0.250000,0.277778,0.205556,0.277778,1,144,36,180,2,45,15,6.900000095367432,0.3896940350532532,7.1666669845581055,0.37674418091773987
Libras,2,mutual_knn,10,0.5,0.2,True,0.047946,0.326389,0.222222,0.294444,0.222222,1,144,36,180,2,45,15,7.0,0.3444444537162781,7.144444465637207,0.34370139241218567
UWaveGestureLibrary,0,no_graph,5,0.5,0.0,True,0.000000,0.614583,0.583333,0.515625,0.583333,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,1,no_graph,5,0.5,0.0,True,0.000000,0.614583,0.416667,0.484375,0.416667,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,2,no_graph,5,0.5,0.0,True,0.000000,0.614583,0.458333,0.425000,0.458333,1,96,24,320,3,315,8,,,,
UWaveGestureLibrary,0,current,5,0.5,0.0,True,0.048913,0.614583,0.583333,0.525000,0.583333,1,96,24,320,3,315,8,5.400000095367432,0.5277777910232544,5.506249904632568,0.572077214717865
UWaveGestureLibrary,1,current,5,0.5,0.0,True,0.048430,0.625000,0.416667,0.475000,0.416667,1,96,24,320,3,315,8,5.283333778381348,0.5331230163574219,5.412499904632568,0.5808314085006714
UWaveGestureLibrary,2,current,5,0.5,0.0,True,0.048821,0.604167,0.458333,0.425000,0.458333,1,96,24,320,3,315,8,5.233333587646484,0.5636942982673645,5.300000190734863,0.5683962106704712
UWaveGestureLibrary,0,mutual_knn,5,0.5,0.0,True,0.048913,0.614583,0.583333,0.525000,0.583333,1,96,24,320,3,315,8,3.2333335876464844,0.6082473993301392,3.2437500953674316,0.6223506927490234
UWaveGestureLibrary,1,mutual_knn,5,0.5,0.0,True,0.048430,0.614583,0.416667,0.475000,0.416667,1,96,24,320,3,315,8,3.5333335399627686,0.6179245114326477,3.3187501430511475,0.6403012871742249
UWaveGestureLibrary,2,mutual_knn,5,0.5,0.0,True,0.048821,0.614583,0.458333,0.425000,0.458333,1,96,24,320,3,315,8,3.616666793823242,0.6221198439598083,3.53125,0.6300885081291199
UWaveGestureLibrary,0,mutual_knn,5,0.5,0.2,True,0.048913,0.604167,0.583333,0.525000,0.583333,1,96,24,320,3,315,8,3.250000238418579,0.6051282286643982,3.237499952316284,0.6254826188087463
UWaveGestureLibrary,1,mutual_knn,5,0.5,0.2,True,0.048430,0.614583,0.416667,0.471875,0.416667,1,96,24,320,3,315,8,3.5500001907348633,0.6103286743164062,3.3125,0.6396226286888123
UWaveGestureLibrary,2,mutual_knn,5,0.5,0.2,True,0.048821,0.614583,0.458333,0.421875,0.458333,1,96,24,320,3,315,8,3.616666793823242,0.6221198439598083,3.5250000953674316,0.6347517371177673
UWaveGestureLibrary,0,mutual_knn_threshold,5,0.5,0.2,True,0.048913,0.604167,0.583333,0.525000,0.583333,1,96,24,320,3,315,8,3.250000238418579,0.6051282286643982,3.237499952316284,0.6254826188087463
UWaveGestureLibrary,1,mutual_knn_threshold,5,0.5,0.2,True,0.048430,0.614583,0.416667,0.471875,0.416667,1,96,24,320,3,315,8,3.5500001907348633,0.6103286743164062,3.3125,0.6396226286888123
UWaveGestureLibrary,2,mutual_knn_threshold,5,0.5,0.2,True,0.048821,0.614583,0.458333,0.421875,0.458333,1,96,24,320,3,315,8,3.616666793823242,0.6221198439598083,3.5250000953674316,0.6347517371177673
UWaveGestureLibrary,0,mutual_knn,3,0.5,0.2,True,0.048913,0.604167,0.583333,0.521875,0.583333,1,96,24,320,3,315,8,1.9166667461395264,0.6608695387840271,1.875,0.6399999856948853
UWaveGestureLibrary,1,mutual_knn,3,0.5,0.2,True,0.048430,0.625000,0.416667,0.471875,0.416667,1,96,24,320,3,315,8,2.1666667461395264,0.6769230961799622,1.912500023841858,0.6993464231491089
UWaveGestureLibrary,2,mutual_knn,3,0.5,0.2,True,0.048821,0.614583,0.458333,0.421875,0.458333,1,96,24,320,3,315,8,2.1000001430511475,0.7222222685813904,1.9562500715255737,0.7220447063446045
UWaveGestureLibrary,0,mutual_knn,10,0.5,0.2,True,0.048913,0.604167,0.583333,0.518750,0.583333,1,96,24,320,3,315,8,7.233333587646484,0.49539169669151306,6.856250286102295,0.5341841578483582
UWaveGestureLibrary,1,mutual_knn,10,0.5,0.2,True,0.048430,0.625000,0.416667,0.475000,0.416667,1,96,24,320,3,315,8,7.216667175292969,0.517320990562439,6.84375,0.5771689414978027
UWaveGestureLibrary,2,mutual_knn,10,0.5,0.2,True,0.048821,0.614583,0.458333,0.428125,0.458333,1,96,24,320,3,315,8,7.850000381469727,0.5031847357749939,7.431250095367432,0.5744323134422302
